act_symbol,ex_date,to_factor,for_factor
CNET,2023-01-20,1.00000,5.00000
CNET,2024-09-30,1.00000,4.00000
CNEY,2024-01-19,1.00000,30.00000
CNEY,2025-05-19,1.00000,25.00000
CNF,2025-09-05,1.00000,10.00000
CNQ,2024-06-03,2.00000,1.00000
CNQ,2024-06-11,2.00000,1.00000
CNSP,2022-11-29,1.00000,30.00000
CNSP,2024-06-05,1.00000,50.00000
CNSP,2025-02-21,1.00000,50.00000
CNSP,2025-07-22,1.00000,12.00000
CNVS,2023-06-09,1.00000,20.00000
CNXA,2022-06-15,1.00000,10.00000
CNXA,2023-09-25,1.00000,40.00000
COCP,2022-10-11,1.00000,12.00000
CODX,2026-01-02,1.00000,30.00000
COE,2022-12-15,1.00000,4.00000
COEP,2024-12-31,1.00000,20.00000
COGT,2020-11-09,1.00000,4.00000
COKE,2025-05-27,10.00000,1.00000
COLM,2014-09-26,2.00000,1.00000
COMS,2021-01-22,1.00000,3.00000
COMS,2023-02-10,1.00000,100.00000
CONI,2025-08-15,1.00000,20.00000
CONY,2025-12-02,1.00000,10.00000
COO,2024-02-20,4.00000,1.00000
CORE,2014-06-27,2.00000,1.00000
CORR,2015-12-02,1.00000,5.00000
COSM,2022-12-16,1.00000,25.00000
COWN,2016-12-05,1.00000,4.00000
CPE,2020-08-10,1.00000,10.00000
CPHI,2023-03-06,1.00000,10.00000
CPHI,2024-03-06,1.00000,5.00000
CPHI,2025-04-15,1.00000,10.00000
CPK,2014-09-08,3.00000,2.00000
CPLP,2019-03-27,1.00000,7.00000
CPLP,2019-03-28,1.00000,7.00000
CPOP,2023-10-27,1.00000,10.00000
CPRT,2017-04-11,2.00000,1.00000
CPRT,2022-10-05,2.00000,1.00000
CPRT,2022-11-04,2.00000,1.00000
CPRT,2023-08-11,2.00000,1.00000
CPRT,2023-08-22,2.00000,1.00000
CPST,2015-11-09,1.00000,20.00000
CPST,2019-10-22,1.00000,10.00000
CPTA,2020-08-24,1.00000,6.00000
CPTN,2023-09-22,1.00000,10.00000
CRBP,2023-02-14,1.00000,30.00000
CRC,2016-06-01,1.00000,10.00000
CREG,2016-05-26,1.00000,10.00000
CREG,2020-04-15,1.00000,10.00000
CREG,2025-07-18,1.00000,10.00000
CRESY,2023-05-10,2.02203,1.00000
CRESY,2025-11-28,1.00846,1.00000
CREX,2023-03-27,1.00000,3.00000
CRIS,2018-05-30,1.00000,5.00000
CRIS,2023-09-29,1.00000,20.00000
CRK,2016-08-01,1.00000,5.00000
CRKN,2021-01-26,1.00000,3.00000
CRKN,2023-08-15,1.00000,60.00000
CRKN,2024-06-25,1.00000,150.00000
CRKN,2025-01-30,1.00000,150.00000
CRMD,2019-03-26,1.00000,5.00000
CRSH,2025-12-02,1.00000,10.00000
CRVL,2024-12-26,3.00000,1.00000
CRVO,2023-08-17,1.00000,1.50000
CSAN,2021-05-06,4.00000,1.00000
CSAN,2021-05-11,4.00000,1.00000
CSCW,2022-09-26,1.00000,40.00000
CSGP,2021-06-28,10.00000,1.00000
CSM,2022-01-13,2.00000,1.00000
CSPI,2024-03-21,2.00000,1.00000
CSU,2020-12-14,1.00000,15.00000
CSX,2021-06-29,3.00000,1.00000
CTAS,2024-09-12,4.00000,1.00000
CTEC,2025-09-02,1.00000,5.00000
CTHR,2024-05-17,1.00000,10.00000
CTIC,2017-01-03,1.00000,10.00000
CTM,2022-10-13,1.00000,20.00000
CTNT,2024-10-24,1.00000,16.00000
CTO,2022-07-01,3.00000,1.00000
CTR,2020-07-28,1.00000,5.00000
CTRM,2021-05-28,1.00000,10.00000
CTRM,2024-03-27,1.00000,10.00000
CTRV,2018-05-29,1.00000,8.00000
CTRV,2019-06-03,1.00000,70.00000
CTXR,2024-11-26,1.00000,25.00000
CUEN,2021-02-02,1.00000,2.50000
CUEN,2023-03-24,1.00000,13.00000
CUR,2017-01-09,1.00000,13.00000
CUR,2019-07-18,1.00000,20.00000
CUZ,2019-06-17,1.00000,4.00000
CVEO,2020-11-20,1.00000,12.00000
CVKD,2024-08-20,1.00000,15.00000
CVLG,2025-01-02,2.00000,1.00000
CVLY,2018-12-11,21.00000,20.00000
CVLY,2019-12-10,21.00000,20.00000
CVM,2017-06-15,1.00000,25.00000
CVM,2025-05-20,1.00000,30.00000
CWBR,2022-09-23,1.00000,30.00000
CWD,2025-05-02,1.00000,20.00000
CWEB,2022-05-31,1.00000,10.00000
CWVX,2025-12-02,1.00000,5.00000
CXSE,2020-10-19,2.00000,1.00000
CYA,2024-02-12,1.00000,20.00000
CYBN,2024-09-19,1.00000,38.00000
CYCC,2016-05-31,1.00000,12.00000
CYCC,2020-04-15,1.00000,20.00000
CYCC,2023-12-18,1.00000,15.00000
CYCC,2025-05-12,1.00000,16.00000
CYCC,2025-07-07,1.00000,15.00000
CYCN,2023-05-16,1.00000,20.00000
CYCU,2025-10-27,1.00000,30.00000
CYCU,2025-12-15,1.01800,1.00000
CYN,2024-07-05,1.00000,100.00000
CYN,2025-02-18,1.00000,150.00000
CYRN,2022-02-09,1.00000,20.00000
CYTH,2020-12-09,1.00000,100.00000
CYTO,2022-10-25,1.00000,20.00000
CYTO,2023-12-13,1.00000,20.00000
CYTR,2017-11-01,1.00000,6.00000
CYTX,2016-05-12,1.00000,15.00000
CYTX,2018-05-24,1.00000,10.00000
CZFS,2025-06-13,1.01000,1.00000
CZOO,2023-02-09,1.00000,20.00000
CZOO,2023-12-06,1.00000,100.00000
DAC,2019-05-02,1.00000,14.00000
DARE,2024-07-01,1.00000,12.00000
DATS,2023-09-20,1.00000,10.00000
DAVE,2023-01-06,1.00000,32.00000
DBGI,2022-11-04,1.00000,100.00000
DBGI,2023-08-22,1.00000,25.00000
DBGI,2024-12-13,1.00000,50.00000
DBRG,2022-08-23,1.00000,4.00000
DBVT,2024-06-03,1.00000,2.00000
DBVT,2024-06-07,1.00000,2.00000
DBVT,2024-11-29,1.00000,5.00000
DCFC,2024-04-02,1.00000,200.00000
DCTH,2019-12-24,1.00000,700.00000
DCX,2026-01-22,1.00000,12.00000
DD,2025-11-03,239.00000,100.00000
DDC,2025-04-21,1.00000,25.00000
DDM,2025-11-20,2.00000,1.00000
DEA,2025-04-28,1.00000,2.50000
DECK,2024-09-17,6.00000,1.00000
DEVS,2025-08-08,1.00000,10.00000
DFDV,2025-05-21,7.00000,1.00000
DFDV,2025-10-23,11.00000,10.00000
DFFN,2018-12-14,1.00000,15.00000
DFFN,2022-04-19,1.00000,50.00000
DFFN,2023-08-17,1.00000,1.50000
DFLI,2024-11-22,1.00000,9.00000
DFLI,2025-12-18,1.00000,10.00000
DGLY,2023-02-08,1.00000,20.00000
DGLY,2025-05-07,1.00000,20.00000
DGLY,2025-05-23,1.00000,100.00000
DGLY,2026-01-08,1.00000,3.00000
DGNX,2025-09-09,8.00000,1.00000
DHAI,2025-10-20,1.00000,25.00000
DIG,2020-04-21,1.00000,10.00000
DIG,2022-05-27,4.00000,1.00000
DIPS,2025-12-02,1.00000,10.00000
DISCA,2014-08-06,2.00000,1.00000
DISCK,2014-08-06,2.00000,1.00000
DLN,2021-12-17,2.00000,1.00000
DLN,2021-12-23,2.00000,1.00000
DLPN,2020-11-27,1.00000,5.00000
DLPN,2024-10-16,1.00000,2.00000
DM,2024-06-11,1.00000,10.00000
DMPI,2016-05-20,1.00000,4.00000
DMPI,2019-05-08,1.00000,10.00000
DMS,2023-08-29,1.00000,15.00000
DNA,2024-08-20,1.00000,40.00000
DNL,2021-06-10,2.00000,1.00000
DNMR,2024-05-10,4.00000,3.00000
DNMR,2024-11-13,1.00000,40.00000
DNTH,2023-09-08,2.00000,1.00000
DNTH,2023-09-12,1.00000,16.00000
DOGZ,2023-11-07,1.00000,20.00000
DOMA,2023-06-30,1.00000,25.00000
DOYU,2024-03-28,1.00000,10.00000
DPRO,2024-09-05,1.00000,25.00000
DPST,2020-04-23,1.00000,10.00000
DPST,2021-10-25,5.00000,1.00000
DPST,2023-06-05,1.00000,10.00000
DPW,2019-03-15,1.00000,20.00000
DPW,2019-08-05,1.00000,40.00000
DQ,2020-11-17,5.00000,1.00000
DRAD,2019-06-04,1.00000,10.00000
DRCT,2026-01-12,1.00000,55.00000
DRIO,2025-08-28,1.00000,20.00000
DRIP,2020-08-28,1.00000,10.00000
DRIP,2022-02-28,1.00000,10.00000
DRIP,2022-03-28,1.00000,10.00000
DRMA,2023-03-14,1.00000,16.00000
DRMA,2024-05-16,1.00000,15.00000
DRMA,2025-08-01,1.00000,10.00000
DRRX,2022-12-06,1.00000,10.00000
DRUG,2023-07-14,1.00000,5.00000
DRV,2021-10-25,1.00000,10.00000
DRYS,2016-03-11,1.00000,25.00000
DRYS,2016-08-15,1.00000,4.00000
DRYS,2016-11-01,1.00000,15.00000
DRYS,2017-01-23,1.00000,8.00000
DRYS,2017-04-11,1.00000,4.00000
DRYS,2017-05-11,1.00000,7.00000
DRYS,2017-06-22,1.00000,5.00000
DRYS,2017-07-21,1.00000,7.00000
DSE,2020-11-09,1.00000,10.00000
DSGR,2023-09-01,2.00000,1.00000
DSI,2020-12-01,2.00000,1.00000
DSI,2020-12-07,2.00000,1.00000
DSS,2016-08-26,1.00000,4.00000
DSS,2020-05-08,1.00000,30.00000
DSS,2024-01-05,1.00000,20.00000
DSX,2023-12-05,6.00000,5.00000
DSX,2023-12-15,6.00000,5.00000
DTD,2021-12-23,2.00000,1.00000
DTIL,2024-02-14,1.00000,30.00000
DTSS,2024-01-19,1.00000,15.00000
DTSS,2024-01-23,1.00000,15.00000
DTST,2021-05-14,1.00000,40.00000
DUG,2022-01-13,1.00000,5.00000
DUG,2024-11-07,1.00000,4.00000
DUO,2022-06-07,1.00000,15.00000
DUO,2023-08-04,1.00000,15.00000
DUO,2025-06-09,1.00000,16.00000
DUOT,2020-01-17,1.00000,14.00000
DUST,2020-04-23,1.00000,25.00000
DUST,2024-11-04,1.00000,10.00000
DVLT,2026-01-07,61.00000,60.00000
DWDP,2019-04-03,0.00000,0.00000
DX,2019-06-20,1.00000,3.00000
DXCM,2022-05-18,4.00000,1.00000
DXCM,2022-06-10,4.00000,1.00000
DXCM,2022-06-13,4.00000,1.00000
DXD,2022-01-13,1.00000,5.00000
DXF,2023-07-25,1.00000,10.00000
DXJS,2023-08-10,2.00000,1.00000
DYNT,2023-02-02,1.00000,5.00000
EAF,2025-08-29,1.00000,10.00000
EAR,2023-01-18,1.00000,20.00000
EARS,2018-03-14,1.00000,10.00000
EARS,2019-05-01,1.00000,20.00000
EAST,2023-05-15,1.00000,20.00000
EBET,2023-10-02,1.00000,30.00000
EBIX,2016-08-01,3.00000,1.00000
EBIX,2018-12-15,5.00000,1.00000
EBON,2022-11-22,1.00000,30.00000
ECDA,2025-09-18,1.00000,40.00000
ECDA,2025-12-26,1.00000,5.00000
ECOR,2023-02-15,1.00000,15.00000
EDBL,2023-01-26,1.00000,30.00000
EDBL,2024-04-05,1.00000,20.00000
EDBL,2025-03-03,1.00000,25.00000
EDBL,2026-02-03,1.00000,10.00000
EDSA,2023-10-11,1.00000,7.00000
EDU,2021-03-12,10.00000,1.00000
EDU,2022-04-08,1.00000,10.00000
EDUC,2018-08-23,2.00000,1.00000
EDUT,2022-12-20,1.00000,3.00000
EDZ,2025-09-29,1.00000,10.00000
EEMX,2023-01-12,2.00000,1.00000
EEV,2025-11-20,1.00000,2.00000
EFAX,2023-01-12,2.00000,1.00000
EFOI,2020-06-12,1.00000,5.00000
EFOI,2023-06-20,1.00000,7.00000
EFSH,2022-08-03,1.00000,4.00000
EFSH,2023-09-11,1.00000,25.00000
EFSH,2024-01-08,1.00000,4.00000
EFSH,2024-07-08,1.00000,13.00000
EFSH,2024-11-11,1.00000,15.00000
EFSH,2025-01-10,2.00000,1.00000
EFTR,2024-01-12,1.00000,25.00000
EFU,2024-11-07,1.00000,2.00000
EGIO,2024-03-01,1.00000,40.00000
EGLE,2016-08-05,1.00000,20.00000
EGLE,2020-09-15,1.00000,7.00000
EGO,2018-12-27,1.00000,5.00000
EIGR,2024-01-08,1.00000,30.00000
EINC,2020-04-15,1.00000,3.00000
EJH,2022-10-04,1.00000,20.00000
EJH,2023-04-13,1.00000,10.00000
EJH,2023-09-25,1.00000,10.00000
EJH,2024-02-14,1.00000,5.00000
EJH,2024-09-24,1.00000,10.00000
EJH,2025-05-30,1.00000,50.00000
EKSO,2020-03-25,1.00000,15.00000
EKSO,2025-06-02,1.00000,15.00000
ELAB,2024-11-27,1.00000,200.00000
ELAB,2025-03-10,1.00000,7.00000
ELAB,2025-09-02,1.00000,3.50000
ELAB,2026-01-06,1.00000,4.00000
ELBM,2025-01-02,1.00000,4.00000
ELGX,2019-03-06,1.00000,10.00000
ELOX,2022-12-02,1.00000,40.00000
ELP,2021-03-11,10.00000,1.00000
ELP,2021-03-18,10.00000,1.00000
ELP,2021-04-28,1.00000,5.00000
ELP,2023-12-29,5.00000,4.00000
ELPW,2025-12-26,1.00000,16.00000
ELS,2019-10-15,2.00000,1.00000
ELTX,2023-06-02,1.00000,10.00000
ELVN,2023-02-24,1.00000,4.00000
ELWS,2024-05-16,1.00000,5.00000
EMBK,2022-08-17,1.00000,20.00000
EMCI,2015-06-23,3.00000,2.00000
EMKR,2024-04-02,1.00000,10.00000
EMMS,2016-07-08,1.00000,4.00000
EMO,2020-07-28,1.00000,5.00000
ENG,2023-12-01,1.00000,8.00000
ENOV,2022-04-05,1.00000,3.00000
ENPC,2021-03-26,2.50000,1.00000
ENSC,2022-10-28,1.00000,20.00000
ENSC,2023-03-31,1.00000,12.00000
ENSC,2024-12-06,1.00000,15.00000
ENSG,2015-12-24,2.00000,1.00000
ENSV,2020-11-23,1.00000,15.00000
ENT,2020-04-16,1.00000,25.00000
ENTO,2025-08-18,1.00000,3.00000
ENVB,2022-07-15,1.00000,50.00000
ENVB,2025-01-29,1.00000,15.00000
ENVB,2025-10-28,1.00000,12.00000
ENVX,2025-07-17,8.00000,7.00000
EOG,2014-03-31,2.00000,1.00000
EPD,2014-08-21,2.00000,1.00000
EPV,2024-11-07,1.00000,5.00000
EPWK,2025-11-17,1.00000,40.00000
EQL,2025-04-01,3.00000,1.00000
ERNA,2022-10-17,1.00000,20.00000
ERNA,2025-06-12,1.00000,15.00000
ERX,2020-03-24,1.00000,10.00000
ERY,2022-05-31,1.00000,10.00000
ESEA,2019-12-19,1.00000,8.00000
ESGC,2022-02-08,1.00000,20.00000
ETAO,2024-03-26,1.00000,20.00000
ETH,2024-11-20,1.00000,10.00000
ETHD,2025-11-20,1.00000,10.00000
ETHT,2025-06-12,1.00000,5.00000
ETHU,2025-04-09,1.00000,20.00000
ETHZ,2025-10-20,1.00000,10.00000
ETQ,2025-10-29,1.00000,20.00000
ETR,2024-12-13,2.00000,1.00000
EUM,2024-11-07,1.00000,2.00000
EVAV,2023-06-05,1.00000,10.00000
EVAX,2024-01-22,1.00000,10.00000
EVAX,2025-01-14,1.00000,5.00000
EVFM,2022-05-06,1.00000,15.00000
EVGN,2024-07-25,1.00000,10.00000
EVLO,2023-06-30,1.00000,20.00000
EVOK,2022-05-23,1.00000,12.00000
EVOK,2024-08-01,1.00000,12.00000
EVTL,2024-09-23,1.00000,10.00000
EVTV,2025-08-08,1.00000,10.00000
EVX,2025-02-06,5.00000,1.00000
EW,2015-12-11,2.00000,1.00000
